dataset,query,num_snippets,file_path,span_start,span_end,answer,snippets_json
contractnli,Consider the Tabun Kitchen Investments' Non-Disclosure Agreement; Does the document state that Confidential Information shall only include technical information?,2,contractnli/TabunKitchenInvestments-NDA.txt,1292,1347,"Confidential Information includes, without limitation, ","[{""file_path"": ""contractnli/TabunKitchenInvestments-NDA.txt"", ""span"": [1292, 1347], ""answer"": ""Confidential Information includes, without limitation, ""}, {""file_path"": ""contractnli/TabunKitchenInvestments-NDA.txt"", ""span"": [1572, 1772], ""answer"": ""(ii) forecasts, business plans, strategies, and financial statements, records and information, (iii) customer lists or requirements, and (iv) other business or technical information or trade secrets. ""}]"
contractnli,Consider Grindrod SA's Non-Disclosure Agreement; Does the document state that Confidential Information shall only include technical information?,1,contractnli/Grindrod%20SA%20Confidentiality%20and%20Non-Disclosure%20Undertaking.txt,757,1492,"1.1 “Confidential Information” means; all technical, commercial, procurement requirements, purchasing, manufacturing, customer lists, investors, employees, business and contractual relationships, business forecasts, sales and merchandising, and marketing plans business or personnel information disclosed or otherwise made available in any format and/or physical manner by Grindrod SA or becoming available, before, during and/or after the execution of an interaction, duty or obligation including all information that makes itself known to the Vendor or comes into being as a result of the rendering, production and/or delivery of an agreement/understanding/request for quotation/contract or Purchase Order, or any other interaction. ","[{""file_path"": ""contractnli/Grindrod%20SA%20Confidentiality%20and%20Non-Disclosure%20Undertaking.txt"", ""span"": [757, 1492], ""answer"": ""1.1 \u201cConfidential Information\u201d means; all technical, commercial, procurement requirements, purchasing, manufacturing, customer lists, investors, employees, business and contractual relationships, business forecasts, sales and merchandising, and marketing plans business or personnel information disclosed or otherwise made available in any format and/or physical manner by Grindrod SA or becoming available, before, during and/or after the execution of an interaction, duty or obligation including all information that makes itself known to the Vendor or comes into being as a result of the rendering, production and/or delivery of an agreement/understanding/request for quotation/contract or Purchase Order, or any other interaction. ""}]"
contractnli,Consider the Data Use Agreement in New York City; Does the document allow the Receiving Party to share some Confidential Information with their employees?,1,contractnli/Data Use Agreement New York City.txt,6985,7273,"1. Only the Data Recipient’s employees and/or consultants required to use the Data to perform the functions of this Agreement that are set forth in Attachment B, and so designated by Data Recipient as “Authorized Users” in Attachment C to this Agreement, will be given access to the Data.","[{""file_path"": ""contractnli/Data Use Agreement New York City.txt"", ""span"": [6985, 7273], ""answer"": ""1. Only the Data Recipient\u2019s employees and/or consultants required to use the Data to perform the functions of this Agreement that are set forth in Attachment B, and so designated by Data Recipient as \u201cAuthorized Users\u201d in Attachment C to this Agreement, will be given access to the Data.""}]"
contractnli,Consider the Mutual Non-Disclosure Agreement between Wayne Fueling Systems and Unknown Party; Does the document require that all Confidential Information be expressly identified by the Disclosing Party?,1,contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt,968,1267,"Confidential Information also includes, but is not limited to, personal data as defined in this Agreement or by applicable law, whichever is broader, and personal data shall not be required to be marked “Confidential” or “Proprietary” to be treated as Confidential Information under this Agreement. ","[{""file_path"": ""contractnli/wayne-fueling-systems-mutual-non-disclosure-agreement-final.txt"", ""span"": [968, 1267], ""answer"": ""Confidential Information also includes, but is not limited to, personal data as defined in this Agreement or by applicable law, whichever is broader, and personal data shall not be required to be marked \u201cConfidential\u201d or \u201cProprietary\u201d to be treated as Confidential Information under this Agreement. ""}]"
contractnli,Consider FullStory's Mutual Non-Disclosure Agreement; Does the document permit the Receiving Party to create a copy of some Confidential Information under certain circumstances?,1,contractnli/helpjuice_production%2Fuploads%2Fupload%2Fimage%2F2329%2Fdirect%2F1526996160411-FullStory+Mutual+Non-Disclosure+Agreement+2018.txt,3230,3396,"Recipient agrees not to copy or reverse engineer, or attempt to derive the composition or underlying information, structure or ideas of any Confidential Information. ","[{""file_path"": ""contractnli/helpjuice_production%2Fuploads%2Fupload%2Fimage%2F2329%2Fdirect%2F1526996160411-FullStory+Mutual+Non-Disclosure+Agreement+2018.txt"", ""span"": [3230, 3396], ""answer"": ""Recipient agrees not to copy or reverse engineer, or attempt to derive the composition or underlying information, structure or ideas of any Confidential Information. ""}]"
contractnli,Consider Kerber's Non-Disclosure Agreement; Does the document allow verbally conveyed information to be considered as Confidential Information?,1,contractnli/Kerber_Non_Disclosure_Agreement.txt,1242,1482,Information initially furnished orally and identified by the disclosing party as confidential or proprietary at the time of disclosure will be confirmed by the disclosing party as Confidential Information in writing within thirty (30) days.,"[{""file_path"": ""contractnli/Kerber_Non_Disclosure_Agreement.txt"", ""span"": [1242, 1482], ""answer"": ""Information initially furnished orally and identified by the disclosing party as confidential or proprietary at the time of disclosure will be confirmed by the disclosing party as Confidential Information in writing within thirty (30) days.""}]"
contractnli,Consider JBF's Non-Disclosure Agreement; Does the document allow the Receiving Party to share some Confidential Information with their employees?,1,contractnli/JBF_NDA_rev-2017033-1.txt,3676,4377,"The Receiving Party shall not disclose, allow access to, transmit or transfer the Confidential Information to any third party without the Disclosing Party’s prior written consent, provided however that the Receiving Party may disclose the Confidential Information to those of its directors, officers and employees (""Representatives"") who have a need to know the Confidential Information for the Purpose provided that the Receiving Party shall ensure that such Representatives treat the Confidential Information as confidential and at all times in a manner consistent with this Agreement and the Receiving Party shall be liable for any loss or damage resulting from any Representative failing to do so.","[{""file_path"": ""contractnli/JBF_NDA_rev-2017033-1.txt"", ""span"": [3676, 4377], ""answer"": ""The Receiving Party shall not disclose, allow access to, transmit or transfer the Confidential Information to any third party without the Disclosing Party\u2019s prior written consent, provided however that the Receiving Party may disclose the Confidential Information to those of its directors, officers and employees (\""Representatives\"") who have a need to know the Confidential Information for the Purpose provided that the Receiving Party shall ensure that such Representatives treat the Confidential Information as confidential and at all times in a manner consistent with this Agreement and the Receiving Party shall be liable for any loss or damage resulting from any Representative failing to do so.""}]"
contractnli,Consider HNBA's Confidentiality Agreement; Does the document allow the Receiving Party to acquire information similar to the Confidential Information from a third party?,2,contractnli/HNBA-2017-18-Confidentiality-Agreement.txt,5669,5791,3. The HNBA agrees that the Board Member shall not be liable for any disclosure or use of any Confidential Information if:,"[{""file_path"": ""contractnli/HNBA-2017-18-Confidentiality-Agreement.txt"", ""span"": [5669, 5791], ""answer"": ""3. The HNBA agrees that the Board Member shall not be liable for any disclosure or use of any Confidential Information if:""}, {""file_path"": ""contractnli/HNBA-2017-18-Confidentiality-Agreement.txt"", ""span"": [5954, 6123], ""answer"": ""(b) Such Confidential Information is lawfully obtained by the Board Member from a third- party or parties independent of the HNBA prior to the Board Member\u2019s disclosure;""}]"
contractnli,Consider the VMware Certification Conduct Policy; Does the document restrict the use of Confidential Information to the purposes stated in the Agreement?,1,contractnli/vmw-certification-conduct-policy.txt,1236,1429,Recipient expressly agrees not to use the Confidential Information for purposes other than those necessary to consider the possibility of entering into a business relationship with the Company.,"[{""file_path"": ""contractnli/vmw-certification-conduct-policy.txt"", ""span"": [1236, 1429], ""answer"": ""Recipient expressly agrees not to use the Confidential Information for purposes other than those necessary to consider the possibility of entering into a business relationship with the Company.""}]"
contractnli,Consider the Non-Disclosure Agreement between Hochschule Furtwangen University and Thesis Participants; Does the document indicate that the Agreement does not grant the Receiving Party any rights to the Confidential Information?,1,contractnli/Geheimhaltungsvereinbarung_Abschlussarbeiten_HFU_englisch.txt,3838,4025,"This agreement does not confer any rights, in particular property, licencing or replication rights, rights of use or any other commercial protected rights or options between the parties. ","[{""file_path"": ""contractnli/Geheimhaltungsvereinbarung_Abschlussarbeiten_HFU_englisch.txt"", ""span"": [3838, 4025], ""answer"": ""This agreement does not confer any rights, in particular property, licencing or replication rights, rights of use or any other commercial protected rights or options between the parties. ""}]"
